,year,Date_planet,GNDVI,NDVI,SR,MEAN_Bioma,Cell_Third,Cell
0,2017,20170403,0.532561775296926,0.49852191179018995,3.1023194175314264,0.336508,A1,A
1,2017,20170403,0.5368990379085179,0.496325141734068,3.0927025508080397,0.393791,A2,A
2,2017,20170403,0.5446738576782599,0.511285480491969,3.2277761717540465,0.580741,A3,A
3,2017,20170403,0.607269353105939,0.574990384899899,3.7412673372176433,0.12879100000000002,B1,B
4,2017,20170403,0.613121161896895,0.572668825605964,3.6844608283425915,0.432512,B2,B
5,2017,20170403,0.5939676735982441,0.5617453019964029,3.5704250119164715,0.21548299999999998,B3,B
6,2017,20170403,0.5955896474421021,0.550342721905973,3.452219281232107,0.33271100000000003,C1,C
7,2017,20170403,0.608080176015695,0.562688983148999,3.5777244253312386,0.402817,C2,C
8,2017,20170403,0.594456323045999,0.54207803320853,3.37418671178036,0.45184799999999997,C3,C
9,2017,20170403,0.592070156335831,0.548190418958664,3.438062375596838,0.218309,D1,D
10,2017,20170403,0.604270980993907,0.5548850057919821,3.50449667356782,0.7187319999999999,D2,D
11,2017,20170403,0.563161970415423,0.5140434115548289,3.1340276642901004,0.045099,D3,D
12,2017,20170403,0.575882385008865,0.535990078084999,3.322782752639708,0.116603,E1,E
13,2017,20170403,0.5837512118948829,0.544105100962851,3.419977114515662,0.158549,E2,E
14,2017,20170403,0.52521804776243,0.46915709635903796,2.7740864199878232,0.07897699999999999,E3,E
15,2017,20170403,0.625885429349886,0.5970718427580229,3.991614256910726,0.678569,F1,F
16,2017,20170403,0.6381768647362199,0.61564599992403,4.240819946809133,0.751575,F2,F
17,2017,20170403,0.551495785823721,0.506836480731206,3.0637309473068988,0.10392799999999999,F3,F
18,2017,20170403,0.653527010262497,0.639616336037473,4.654575671672821,0.332464,G1,G
19,2017,20170403,0.6785596547588231,0.6685569876240149,5.055245744902952,1.054611,G2,G
20,2017,20170403,0.626094417572021,0.595576410929362,3.985713823617761,0.528816,G3,G
21,2017,20170403,0.666923326253891,0.660979932546616,5.044518082340558,0.41161099999999995,H1,H
22,2017,20170403,0.6914518648578281,0.685432139583813,5.362645669474978,0.43137,H2,H
23,2017,20170403,0.6494358605808679,0.633678779006004,4.481534955652314,0.8726940000000001,H3,H
24,2019,20190124,0.44134335849020206,0.404094433784485,2.39076348344485,0.158,E1,E
25,2019,20190124,0.385910384249843,0.339599413069245,2.030299540055104,0.907,F2,F
26,2019,20190124,0.39507852378270497,0.34507690589159495,2.0621268205153642,0.105,F3,F
27,2019,20190222,0.49095327170689895,0.431844839493434,2.529002642631531,0.2422,D1,D
28,2019,20190222,0.45412911224365204,0.37970470102628096,2.221991742981805,0.6462399999999999,D2,D
29,2019,20190222,0.502848967909813,0.434351160128911,2.559021296766069,0.63388,E1,E
30,2019,20190222,0.459430147707462,0.38680833313200197,2.266633926497565,0.55184,E2,E
31,2019,20190222,0.490328345574489,0.42086017342651794,2.474056795315865,0.4002,F1,F
32,2019,20190222,0.468949038608401,0.39049043117785,2.286492158205081,0.8400799999999999,F2,F
33,2019,20190612,0.646786787940396,0.64418896039327,4.392601050933203,1.8393599999999999,C1,C
34,2019,20190612,0.635646170377731,0.631988072395325,4.513904767566257,1.4435200000000001,E2,E
35,2019,20190612,0.644146905225866,0.637994354768516,4.659333670373057,1.52205,F2,F
36,2019,20190612,0.572162695199449,0.557915461418644,3.7636468795751115,5.4412400000000005,F3,F
